Variable,T1 (Low DM),T2,T3 (High DM)
N,0/4145 (0.0%),0/4145 (0.0%),0/4146 (0.0%)
"Age, years",59.8 (9.5),61.2 (9.8),61.0 (9.8)
"Male, %",1961/4145 (47.3%),1960/4145 (47.3%),1868/4146 (45.1%)
"SBP, mmHg",123.7 (15.8),129.2 (20.3),148.5 (110.2)
"DBP, mmHg",73.2 (8.4),75.4 (11.5),78.7 (13.8)
"BMI, kg/m²",22.5 (1.7),23.3 (3.0),26.4 (6.0)
"CRP, mg/L",1.2 (0.9),1.9 (1.7),5.2 (9.8)
"Glucose, mg/dL",93.9 (10.9),98.2 (17.7),118.6 (54.2)
"HbA1c, %",5.7 (0.4),5.8 (0.5),6.4 (1.5)
"Total cholesterol, mg/dL",178.5 (25.8),183.1 (34.8),190.9 (44.8)
"HDL-C, mg/dL",52.4 (8.6),51.7 (11.7),49.6 (13.7)
"LDL-C, mg/dL",100.7 (20.8),102.6 (28.8),103.7 (35.0)
"Triglycerides, mg/dL",113.8 (47.5),135.0 (75.6),181.4 (121.0)
"eGFR, mL/min",99.2 (8.3),98.2 (8.7),98.5 (9.5)
"Current smoker, %",0/4145 (0.0%),0/4145 (0.0%),0/4146 (0.0%)
"Drinks alcohol, %",0/4145 (0.0%),0/4145 (0.0%),0/4146 (0.0%)
"Physically active, %",1845/4145 (44.5%),1824/4145 (44.0%),1787/4146 (43.1%)
"Hypertension, %",0/4145 (0.0%),0/4145 (0.0%),0/4146 (0.0%)
"Diabetes, %",0/4145 (0.0%),0/4145 (0.0%),0/4146 (0.0%)
"CVD death, N",195/4145 (4.7%),252/4145 (6.1%),405/4146 (9.8%)
"All-cause death, N",195/4145 (4.7%),252/4145 (6.1%),405/4146 (9.8%)
"Follow-up, years",5.4 (0.4),5.4 (0.4),5.3 (0.6)
